airport_id,sightings_id,distance_miles
321919.0,5556.0,8.784590716142713
321919.0,10049.0,8.784590716142713
321919.0,12848.0,6.29288572380791
321919.0,15539.0,4.742037145584555
321919.0,16865.0,6.6524615162376355
6605.0,346.0,9.699998393594848
6605.0,644.0,9.699998393594848
6605.0,1221.0,3.3921022809540076
6605.0,1226.0,5.846797547656993
6605.0,1530.0,2.273676631567653
6605.0,1648.0,2.433917558047083
6605.0,4600.0,2.433917558047083
6605.0,5026.0,6.873571429143353
6605.0,5273.0,3.3921022809540076
6605.0,5792.0,2.433917558047083
6605.0,5797.0,2.433917558047083
6605.0,6404.0,2.6478640739940573
6605.0,8205.0,9.699998393594848
6605.0,8303.0,9.699998393594848
6605.0,9248.0,9.699998393594848
6605.0,9330.0,9.699998393594848
6605.0,9523.0,7.339488712755056
6605.0,9910.0,2.433917558047083
6605.0,10182.0,6.873571429143353
6605.0,10400.0,2.433917558047083
6605.0,10426.0,3.3921022809540076
6605.0,12738.0,2.433917558047083
6605.0,14515.0,2.433917558047083
6605.0,15931.0,9.699998393594848
6605.0,16310.0,2.433917558047083
6605.0,17394.0,7.697874321509076
6605.0,17822.0,9.699998393594848
6605.0,18351.0,2.433917558047083
6605.0,18821.0,2.433917558047083
6605.0,19127.0,2.433917558047083
6605.0,20286.0,9.699998393594848
6605.0,20725.0,9.699998393594848
6605.0,22616.0,7.339488712755056
6605.0,22692.0,7.697874321509076
6605.0,23165.0,6.873571429143353
6605.0,23509.0,8.137752283650409
6606.0,18250.0,1.5748074683490618
6606.0,18367.0,1.5748074683490618
6608.0,9411.0,6.93273748361816
6608.0,9462.0,6.93273748361816
